Country,Longitude,Latitude,Group,Order,Count
Afghanistan,62.53310776,35.23989487,2,262,1
Afghanistan,62.61054611,35.2331543,2,263,1
Afghanistan,62.68808365,35.2553215,2,264,1
Afghanistan,62.72266006,35.27133942,2,265,1
Afghanistan,62.85800552,35.34965897,2,266,1
Afghanistan,62.9802742,35.40917969,2,267,1
Afghanistan,63.05664063,35.44580078,2,268,1
Afghanistan,63.08417892,35.56806564,2,269,1
Afghanistan,63.11933517,35.63755035,2,270,1
Afghanistan,63.16972733,35.67812347,2,271,1
Afghanistan,63.15077972,35.72827148,2,272,1
Afghanistan,63.12998199,35.76674652,2,273,1
Afghanistan,63.10859299,35.81869888,2,274,1
Afghanistan,63.12998199,35.84619141,2,275,1
Afghanistan,63.1789093,35.85844803,2,276,1
Afghanistan,63.30165863,35.85839844,2,277,1
Afghanistan,63.51699066,35.91313553,2,278,1
Afghanistan,63.69658279,35.96781921,2,279,1
Afghanistan,63.86249924,36.01235199,2,280,1
Afghanistan,63.93808365,36.0197258,2,281,1
Afghanistan,64.00967407,36.01211166,2,282,1
Afghanistan,64.04238129,36.02509689,2,283,1
Afghanistan,64.05136871,36.06762695,2,284,1
Afghanistan,64.09218597,36.1126976,2,285,1
Afghanistan,64.18437195,36.14892578,2,286,1
Afghanistan,64.35800934,36.22607422,2,287,1
Afghanistan,64.5110321,36.34067535,2,288,1
Afghanistan,64.56581879,36.42758942,2,289,1
Afghanistan,64.60253906,36.55454254,2,290,1
Afghanistan,64.67431641,36.75019455,2,291,1
Afghanistan,64.75312042,36.96479416,2,292,1
Afghanistan,64.78242493,37.05927658,2,293,1
Afghanistan,64.81630707,37.13208008,2,294,1
Afghanistan,64.95156097,37.19355774,2,295,1
Afghanistan,65.08964539,37.23793793,2,296,1
Afghanistan,65.30361938,37.24677658,2,297,1
Afghanistan,65.55497742,37.25117111,2,298,1
Afghanistan,65.60800934,37.3684082,2,299,1
Afghanistan,65.64121246,37.46782303,2,300,1
Afghanistan,65.68300629,37.51914215,2,301,1
Afghanistan,65.74385071,37.56084061,2,302,1
Afghanistan,65.76503754,37.56914139,2,303,1
Afghanistan,65.90068054,37.50810623,2,304,1
Afghanistan,66.10839844,37.41474533,2,305,1
Afghanistan,66.35029602,37.36816406,2,306,1
Afghanistan,66.47187042,37.34472656,2,307,1
Afghanistan,66.52226257,37.34848404,2,308,1
Afghanistan,66.82772827,37.3712883,2,309,1
Afghanistan,67.06884766,37.33481598,2,310,1
Afghanistan,67.19551086,37.2352066,2,311,1
Afghanistan,67.31972504,37.20956802,2,312,1
Afghanistan,67.44169617,37.25801086,2,313,1
Afghanistan,67.51728821,37.26665115,2,314,1
Afghanistan,67.5464859,37.23564529,2,315,1
Afghanistan,67.60742188,37.22250748,2,316,1
Afghanistan,67.70000458,37.22724533,2,317,1
Afghanistan,67.75292969,37.19980621,2,318,1
Afghanistan,67.75898743,37.17221451,2,319,1
Afghanistan,67.7660141,37.14013672,2,320,1
Afghanistan,67.83447266,37.06420898,2,321,1
Afghanistan,67.95800781,36.97202301,2,322,1
Afghanistan,68.06777191,36.9498024,2,323,1
Afghanistan,68.21211243,37.02153397,2,324,1
Afghanistan,68.26094055,37.01308441,2,325,1
Afghanistan,68.28476715,37.03632736,2,326,1
Afghanistan,68.29951477,37.0884285,2,327,1
Afghanistan,68.38691711,37.13750076,2,328,1
Afghanistan,68.5464859,37.18344879,2,329,1
Afghanistan,68.6370163,37.22446442,2,330,1
Afghanistan,68.66913605,37.25839996,2,331,1
Afghanistan,68.72323608,37.26802063,2,332,1
Afghanistan,68.78203583,37.25801086,2,333,1
Afghanistan,68.82373047,37.27070236,2,334,1
Afghanistan,68.83847809,37.30283356,2,335,1
Afghanistan,68.85536957,37.31684494,2,336,1
Afghanistan,68.88525391,37.32807541,2,337,1
Afghanistan,68.91181183,37.3339386,2,338,1
Afghanistan,68.96044922,37.32504654,2,339,1
Afghanistan,69.05000305,37.26650238,2,340,1
Afghanistan,69.18017578,37.15830231,2,341,1
Afghanistan,69.2648468,37.10839844,2,342,1
Afghanistan,69.3039093,37.11694336,2,343,1
Afghanistan,69.35380554,37.1500473,2,344,1
Afghanistan,69.4144516,37.20776367,2,345,1
Afghanistan,69.4296875,37.29087067,2,346,1
Afghanistan,69.3992157,37.39931488,2,347,1
Afghanistan,69.42012024,37.48671722,2,348,1
Afghanistan,69.49209595,37.5530777,2,349,1
Afghanistan,69.6257782,37.59404373,2,350,1
Afghanistan,69.82089996,37.60956955,2,351,1
Afghanistan,69.94062805,37.60029221,2,352,1
Afghanistan,69.98496246,37.56616211,2,353,1
Afghanistan,70.04472351,37.54721832,2,354,1
Afghanistan,70.11981964,37.54350281,2,355,1
Afghanistan,70.1886673,37.58246994,2,356,1
Afghanistan,70.25146484,37.66415787,2,357,1
Afghanistan,70.25497437,37.76538086,2,358,1
Afghanistan,70.19941711,37.88603592,2,359,1
Afghanistan,70.21464539,37.92441177,2,360,1
Afghanistan,70.23876953,37.94120789,2,361,1
Afghanistan,70.3132782,37.98481369,2,362,1
Afghanistan,70.41777802,38.07543945,2,363,1
Afghanistan,70.51855469,38.19199371,2,364,1
Afghanistan,70.61582184,38.33442307,2,365,1
Afghanistan,70.73593903,38.42256165,2,366,1
Afghanistan,70.87890625,38.45639801,2,367,1
Afghanistan,71.05214691,38.41786957,2,368,1
Afghanistan,71.25585938,38.30698395,2,369,1
Afghanistan,71.33271027,38.17026138,2,370,1
Afghanistan,71.28281403,38.00790787,2,371,1
Afghanistan,71.27851868,37.91841125,2,372,1
Afghanistan,71.3199234,37.90185547,2,373,1
Afghanistan,71.38964844,37.90629959,2,374,1
Afghanistan,71.48779297,37.93188477,2,375,1
Afghanistan,71.55195618,37.93315125,2,376,1
Afghanistan,71.58222961,37.91010666,2,377,1
Afghanistan,71.58036804,37.86425781,2,378,1
Afghanistan,71.54618835,37.7956543,2,379,1
Afghanistan,71.50508118,37.60293198,2,380,1
Afghanistan,71.47968292,37.43603516,2,381,1
Afghanistan,71.45478058,37.2718277,2,382,1
Afghanistan,71.43291473,37.12754059,2,383,1
Afghanistan,71.47187805,37.01508713,2,384,1
Afghanistan,71.53085327,36.84511566,2,385,1
Afghanistan,71.59745789,36.73291016,2,386,1
Afghanistan,71.66562653,36.6969223,2,387,1
Afghanistan,71.73378754,36.68403244,2,388,1
Afghanistan,71.80204773,36.69428635,2,389,1
Afghanistan,71.94199371,36.76645279,2,390,1
Afghanistan,72.15351868,36.9005394,2,391,1
Afghanistan,72.35879517,36.98291016,2,392,1
Afghanistan,72.65742493,37.02905273,2,393,1
Afghanistan,72.7570343,37.1727066,2,394,1
Afghanistan,72.89550781,37.26752853,2,395,1
Afghanistan,73.21112823,37.40849686,2,396,1
Afghanistan,73.38291168,37.46225739,2,397,1
Afghanistan,73.48134613,37.47167969,2,398,1
