Actor,Partner,Count
Adetola Abiade,Paul Allen,1
Adetola Abiade,Paul Norman Allen,2
Adewale Akinnuoye-Agbaje,50 Cent,1
Adewale Akinnuoye-Agbaje,Carrie-Anne Moss,1
Adewale Akinnuoye-Agbaje,Christopher Eccleston,1
Adewale Akinnuoye-Agbaje,Denise Burse,1
Adewale Akinnuoye-Agbaje,Emily Browning,1
Adewale Akinnuoye-Agbaje,Ethan Dizon,1
Adewale Akinnuoye-Agbaje,Gr?gory Fitoussi,1
Adewale Akinnuoye-Agbaje,Jennifer Hudson,1
Adewale Akinnuoye-Agbaje,Joseph Gordon-Levitt,1
Adewale Akinnuoye-Agbaje,Joy Bryant,1
Adewale Akinnuoye-Agbaje,Kit Harington,1
Adewale Akinnuoye-Agbaje,Omar Benson Miller,1
Adewale Akinnuoye-Agbaje,Rosa Arredondo,1
Adewale Akinnuoye-Agbaje,Sarah Shahi,1
Adewale Akinnuoye-Agbaje,Skylan Brooks,1
Adewale Akinnuoye-Agbaje,Sung Kang,1
Adewale Akinnuoye-Agbaje,Sylvester Stallone,1
Adewale Akinnuoye-Agbaje,Tichina Arnold,1
Adhemar Altieri,Edwin Black,1
Adhemar Altieri,Greg Anderson,1
Adhemar Altieri,John Brackett,1
Adi Schnall,Brent Goldberg,1
Adi Schnall,David Wagner,1
Adi Schnall,Evan Rachel Wood,1
Adoni Maropis,Brian Cox,1
Adoni Maropis,Julian Glover,1
Adoni Maropis,Nathan Jones,1
Adrian Alonso,Alberto Reyes,1
Adrian Alonso,Eugenio Derbez,1
Adrian Alonso,Gustavo S?nchez Parra,1
Adrian Alonso,Julio Oscar Mechoso,1
Adrian Alonso,Kate del Castillo,1
Adrian Alonso,Maya Zapata,1
Adrian G. Griffiths,Adrien Brody,1
Adrian G. Griffiths,Caroline Dhavernas,1
Adrian G. Griffiths,Ryan Robbins,1
Adrian Martinez,Chris Conrad,1
Adrian Martinez,Gerald McRaney,1
Adrian Martinez,Margot Robbie,1
Adrian Martinez,Rick Gonzalez,1
Adrian Martinez,Seann William Scott,1
Adrian Martinez,Will Smith,1
Adrian Slade,Chris Coppola,1
Adrian Slade,Drew Seeley,1
Adrian Slade,Lucas Grabeel,1
Adrian Young,Art Bonilla,1
Adrian Young,Bart McCarthy,1
Adrian Young,Nick Cannon,1
Adriana Barraza,George Lopez,1
Adriana Barraza,Luke Wilson,1
Adriana Barraza,Radha Mitchell,1
Adrianne Palicki,Chris Hemsworth,1
Adrianne Palicki,Josh Hutcherson,1
Adrianne Palicki,Josh Peck,1
Adrianne Palicki,Lucas Black,1
Adrianne Palicki,Paul Bettany,1
Adrianne Palicki,Tyrese Gibson,1
Adrien Brody,Adrian G. Griffiths,1
Adrien Brody,Alice Braga,1
Adrien Brody,Amara Karan,1
Adrien Brody,Ben Affleck,1
Adrien Brody,Bob Hoskins,1
Adrien Brody,Brandon McGibbon,1
Adrien Brody,Bryce Dallas Howard,1
Adrien Brody,Caroline Dhavernas,1
Adrien Brody,Colin Hanks,1
Adrien Brody,Delphine Chan?ac,1
Adrien Brody,Diane Lane,1
Adrien Brody,Jack Black,1
Adrien Brody,Jason Schwartzman,1
Adrien Brody,Jennifer Jason Leigh,1
Adrien Brody,Joaquin Phoenix,1
Adrien Brody,Keira Knightley,1
Adrien Brody,Kris Kristofferson,1
Adrien Brody,Lindsay Lohan,1
Adrien Brody,Mark Ruffalo,1
Adrien Brody,Matt Bush,1
Adrien Brody,Michelle Rodriguez,1
Adrien Brody,Naomi Watts,1
Adrien Brody,Owen Wilson,1
Adrien Brody,Rachel Weisz,1
Adrien Brody,Rinko Kikuchi,1
Adrien Brody,Rob Schneider,1
Adrien Brody,Ryan Robbins,1
Adrien Brody,Sarah Polley,1
Adrien Brody,Sean Marquette,1
Adrien Brody,Thomas Kretschmann,1
Adrien Brody,Topher Grace,1
Adrien Brody,Walton Goggins,1
Adrien Brody,William Hurt,1
Adrienne Bailon,Martin Kove,1
Adrienne Bailon,Michael Madsen,1
Adrienne Bailon,Stephen Baldwin,1
Adrienne DeFaria,Abbie Cornish,1
Adrienne DeFaria,Emily Barclay,1
Adrienne DeFaria,Essie Davis,1
Aerosmith,Gregg Allman,1
Aerosmith,India Arie,1
Aerosmith,James Blood Ulmer,1
Affion Crockett,Damon Wayans Jr.,1
Affion Crockett,Essence Atkins,1
Affion Crockett,Shoshana Bush,1
Afrika Bambaataa,B-Real,1
Afrika Bambaataa,Bun B,1
Afrika Bambaataa,Busy Bee,1
Agata Buzek,Benedict Wong,1
Agata Buzek,Jason Statham,1
Agata Buzek,Vicky McClure,1
Agnes Bruckner,D.J. Cotrona,1
Agnes Bruckner,Hugh Dancy,1
Agnes Bruckner,Jonathan Jackson,1
Agnes Bruckner,Jonathan Tucker,1
Agnes Bruckner,Joy Bryant,1
Agnes Bruckner,Katja Riemann,1
Agnes Bruckner,Khaled Nabawy,1
Agnes Bruckner,Laura Ramsey,1
Agnes Bruckner,Olivier Martinez,1
Agnes Bruckner,Orlando Bloom,1
Agnes Bruckner,Rachael Leigh Cook,1
Agnes Bruckner,Razaaq Adoti,1
Agnes Bruckner,Rizwan Manji,1
Agnes Bruckner,Val Kilmer,1
Agnes Bruckner,William Atherton,1
Ahmaogak Sweeney,Ishmael Angalook Hope,1
Ahmaogak Sweeney,John Chase,1
Ahmaogak Sweeney,John Pingayak,1
Ahmed Ahmed,Bret Ernst,1
Ahmed Ahmed,John Caparulo,1
Ahmed Ahmed,Vince Vaughn,1
Ahmed Mahammed Abaka,Hawa Abaker,1
Ahmed Mahammed Abaka,Hejewa Adam,1
Ahmed Mahammed Abaka,Sheikh Ahmed Mohamad Abakar,1
Ahna O'Reilly,James Franco,1
Ahna O'Reilly,Jim Parrack,1
Ahna O'Reilly,Tim Blake Nelson,1
Ahney Her,Bee Vang,1
Ahney Her,Christopher Carley,1
Ahney Her,Clint Eastwood,1
Aidan Gillen,Ashley Scott,1
Aidan Gillen,John Cena,1
Aidan Gillen,Steve Harris,1
Aidan McArdle,Anne Hathaway,1
Aidan McArdle,Cary Elwes,1
Aidan McArdle,Hugh Dancy,1
Aidan Quinn,Andie MacDowell,1
Aidan Quinn,Andrea Powell,1
Aidan Quinn,Bonnie Hunt,1
Aidan Quinn,Eddie Kaye Thomas,1
Aidan Quinn,Kevin Pollak,1
Aidan Quinn,Ryan Merriman,1
Aiden Lovekamp,Kathryn Newton,1
Aiden Lovekamp,Katie Featherston,1
Aiden Lovekamp,Matt Shively,1
Ailidh Mackay,Brenda Blethyn,1
Ailidh Mackay,Julia West,1
Ailidh Mackay,Saoirse Ronan,1
Aimee Garcia,Amanda Peet,1
Aimee Garcia,Ashton Kutcher,1
Aimee Garcia,Taryn Manning,1
Aimee King,Cate Blanchett,1
Aimee King,Jordi Moll?,1
Aimee King,Laurence Fox,1
Aimee Teegarden,Austin Stowell,1
Aimee Teegarden,Danielle Campbell,1
Aimee Teegarden,DeVaughn Nixon,1
Aimee Teegarden,Liam Hemsworth,1
Aimee Teegarden,Teresa Palmer,1
Aimee Teegarden,Thomas McDonell,1
Aishwarya Rai Bachchan,Anupam Kher,1
Aishwarya Rai Bachchan,Martin Henderson,1
Aishwarya Rai Bachchan,Nadira Babbar,1
Aitana S?nchez-Gij?n,Christian Bale,1
Aitana S?nchez-Gij?n,Jennifer Jason Leigh,1
Aitana S?nchez-Gij?n,John Sharian,1
AJ Bowen,Gene Jones,1
AJ Bowen,Joe Swanberg,1
AJ Bowen,Kentucker Audley,1
AJ Bowen,Nicholas Tucci,1
AJ Bowen,Sharni Vinson,1
AJ Bowen,Wendy Glenn,1
AJ Michalka,James Denton,1
AJ Michalka,Kevin Pollak,1
AJ Michalka,Shawnee Smith,1
Akiko Takeshita,Bill Murray,1
Akiko Takeshita,Kazuyoshi Minamimagoe,1
Akiko Takeshita,Scarlett Johansson,1
Akshay Kumar,Deepika Padukone,1
Akshay Kumar,Mithun Chakraborty,1
Akshay Kumar,Ranvir Shorey,1
Al Bell,James Alexander,1
Al Bell,Terrence Howard,1
Al Bell,William Bell,1
Al Gore,Billy West,1
Al Pacino,50 Cent,1
Al Pacino,Adam Sandler,1
Al Pacino,Alan Arkin,1
Al Pacino,Alicia Witt,1
Al Pacino,Amy Brenneman,1
Al Pacino,Annette Bening,1
Al Pacino,Armand Assante,1
Al Pacino,Benjamin Salisbury,1
Al Pacino,Bobby Cannavale,1
Al Pacino,Bridget Moynahan,1
Al Pacino,Carla Gugino,1
Al Pacino,Channing Tatum,1
Al Pacino,Christopher Walken,1
Al Pacino,Colin Farrell,1
Al Pacino,Darnell Williams,1
Al Pacino,Elodie Tougne,1
Al Pacino,Gabriel Macht,1
Al Pacino,Hilary Swank,1
Al Pacino,James Ransone,1
Al Pacino,Jennifer Garner,1
Al Pacino,Jeremy Irons,1
Al Pacino,Joseph Fiennes,1
Al Pacino,Julianna Margulies,1
Al Pacino,Katie Holmes,1
Al Pacino,Leelee Sobieski,1
Al Pacino,Lynn Collins,1
Al Pacino,Martin Donovan,1
Al Pacino,Matthew McConaughey,1
